"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"04.01.2018 17:30 - 04.01.2018 17:45","n/e","n/e"
"04.01.2018 17:45 - 04.01.2018 18:00","n/e","n/e"
"04.01.2018 18:00 - 04.01.2018 18:15","n/e","n/e"
"04.01.2018 18:15 - 04.01.2018 18:30","n/e","n/e"
"04.01.2018 18:30 - 04.01.2018 18:45","n/e","n/e"
"04.01.2018 18:45 - 04.01.2018 19:00","n/e","n/e"
"04.01.2018 19:00 - 04.01.2018 19:15","n/e","n/e"
"04.01.2018 19:15 - 04.01.2018 19:30","n/e","n/e"
"04.01.2018 19:30 - 04.01.2018 19:45","n/e","n/e"
"04.01.2018 19:45 - 04.01.2018 20:00","n/e","n/e"
"04.01.2018 20:00 - 04.01.2018 20:15","n/e","n/e"
"04.01.2018 20:15 - 04.01.2018 20:30","n/e","n/e"
"04.01.2018 20:30 - 04.01.2018 20:45","n/e","n/e"
"04.01.2018 20:45 - 04.01.2018 21:00","n/e","n/e"
"04.01.2018 21:00 - 04.01.2018 21:15","n/e","n/e"
"04.01.2018 21:15 - 04.01.2018 21:30","n/e","n/e"
"04.01.2018 21:30 - 04.01.2018 21:45","n/e","n/e"
"04.01.2018 21:45 - 04.01.2018 22:00","n/e","n/e"
"04.01.2018 22:00 - 04.01.2018 22:15","n/e","n/e"
"04.01.2018 22:15 - 04.01.2018 22:30","n/e","n/e"
"04.01.2018 22:30 - 04.01.2018 22:45","n/e","n/e"
"04.01.2018 22:45 - 04.01.2018 23:00","n/e","n/e"
"04.01.2018 23:00 - 04.01.2018 23:15","n/e","n/e"
"04.01.2018 23:15 - 04.01.2018 23:30","n/e","n/e"
"04.01.2018 23:30 - 04.01.2018 23:45","n/e","n/e"
"04.01.2018 23:45 - 05.01.2018 00:00","n/e","n/e"
"05.01.2018 00:00 - 05.01.2018 00:15","n/e","n/e"
"05.01.2018 00:15 - 05.01.2018 00:30","n/e","n/e"
"05.01.2018 00:30 - 05.01.2018 00:45","n/e","n/e"
"05.01.2018 00:45 - 05.01.2018 01:00","n/e","n/e"
"05.01.2018 01:00 - 05.01.2018 01:15","n/e","n/e"
"05.01.2018 01:15 - 05.01.2018 01:30","n/e","n/e"
"05.01.2018 01:30 - 05.01.2018 01:45","n/e","n/e"
"05.01.2018 01:45 - 05.01.2018 02:00","n/e","n/e"
"05.01.2018 02:00 - 05.01.2018 02:15","n/e","n/e"
"05.01.2018 02:15 - 05.01.2018 02:30","n/e","n/e"
"05.01.2018 02:30 - 05.01.2018 02:45","n/e","n/e"
"05.01.2018 02:45 - 05.01.2018 03:00","n/e","n/e"
"05.01.2018 03:00 - 05.01.2018 03:15","n/e","n/e"
"05.01.2018 03:15 - 05.01.2018 03:30","n/e","n/e"
"05.01.2018 03:30 - 05.01.2018 03:45","n/e","n/e"
"05.01.2018 03:45 - 05.01.2018 04:00","n/e","n/e"
