"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"29.07.2018 04:30 - 29.07.2018 04:45","41763","42534"
"29.07.2018 04:45 - 29.07.2018 05:00","41694","42511"
"29.07.2018 05:00 - 29.07.2018 05:15","41864","42860"
"29.07.2018 05:15 - 29.07.2018 05:30","41771","42729"
"29.07.2018 05:30 - 29.07.2018 05:45","41630","42493"
"29.07.2018 05:45 - 29.07.2018 06:00","41555","42069"
"29.07.2018 06:00 - 29.07.2018 06:15","41488","42707"
"29.07.2018 06:15 - 29.07.2018 06:30","41916","42972"
"29.07.2018 06:30 - 29.07.2018 06:45","42243","43462"
"29.07.2018 06:45 - 29.07.2018 07:00","42670","43735"
"29.07.2018 07:00 - 29.07.2018 07:15","43456","44338"
"29.07.2018 07:15 - 29.07.2018 07:30","44182","45137"
"29.07.2018 07:30 - 29.07.2018 07:45","45543","46122"
"29.07.2018 07:45 - 29.07.2018 08:00","46665","46962"
"29.07.2018 08:00 - 29.07.2018 08:15","47819","48090"
"29.07.2018 08:15 - 29.07.2018 08:30","48671","48708"
"29.07.2018 08:30 - 29.07.2018 08:45","49733","49455"
"29.07.2018 08:45 - 29.07.2018 09:00","50530","50023"
"29.07.2018 09:00 - 29.07.2018 09:15","51660","50706"
"29.07.2018 09:15 - 29.07.2018 09:30","52479","51271"
"29.07.2018 09:30 - 29.07.2018 09:45","53249","51998"
"29.07.2018 09:45 - 29.07.2018 10:00","53867","52864"
"29.07.2018 10:00 - 29.07.2018 10:15","54541","53288"
"29.07.2018 10:15 - 29.07.2018 10:30","55280","53471"
"29.07.2018 10:30 - 29.07.2018 10:45","55784","53774"
"29.07.2018 10:45 - 29.07.2018 11:00","56343","54412"
"29.07.2018 11:00 - 29.07.2018 11:15","57061","55294"
"29.07.2018 11:15 - 29.07.2018 11:30","57824","56023"
"29.07.2018 11:30 - 29.07.2018 11:45","58281","56696"
"29.07.2018 11:45 - 29.07.2018 12:00","57786","56639"
"29.07.2018 12:00 - 29.07.2018 12:15","57910","56464"
"29.07.2018 12:15 - 29.07.2018 12:30","57767","55990"
"29.07.2018 12:30 - 29.07.2018 12:45","56982","55642"
"29.07.2018 12:45 - 29.07.2018 13:00","56603","55286"
"29.07.2018 13:00 - 29.07.2018 13:15","55724","54723"
"29.07.2018 13:15 - 29.07.2018 13:30","55605","54056"
"29.07.2018 13:30 - 29.07.2018 13:45","55339","53974"
"29.07.2018 13:45 - 29.07.2018 14:00","54700","53681"
"29.07.2018 14:00 - 29.07.2018 14:15","54503","53623"
"29.07.2018 14:15 - 29.07.2018 14:30","53936","53160"
"29.07.2018 14:30 - 29.07.2018 14:45","53727","52717"
"29.07.2018 14:45 - 29.07.2018 15:00","54035","52755"
"29.07.2018 15:00 - 29.07.2018 15:15","54031","52808"
"29.07.2018 15:15 - 29.07.2018 15:30","53577","52586"
"29.07.2018 15:30 - 29.07.2018 15:45","53692","52415"
"29.07.2018 15:45 - 29.07.2018 16:00","53492","52223"
"29.07.2018 16:00 - 29.07.2018 16:15","53644","52560"
"29.07.2018 16:15 - 29.07.2018 16:30","53879","52478"
"29.07.2018 16:30 - 29.07.2018 16:45","53738","52394"
"29.07.2018 16:45 - 29.07.2018 17:00","53616","52756"
"29.07.2018 17:00 - 29.07.2018 17:15","53969","53525"
"29.07.2018 17:15 - 29.07.2018 17:30","54149","53539"
"29.07.2018 17:30 - 29.07.2018 17:45","54847","53787"
"29.07.2018 17:45 - 29.07.2018 18:00","54911","53714"
"29.07.2018 18:00 - 29.07.2018 18:15","55222","54383"
"29.07.2018 18:15 - 29.07.2018 18:30","55471","54659"
"29.07.2018 18:30 - 29.07.2018 18:45","55728","54694"
"29.07.2018 18:45 - 29.07.2018 19:00","55718","54777"
"29.07.2018 19:00 - 29.07.2018 19:15","55554","55061"
"29.07.2018 19:15 - 29.07.2018 19:30","55242","54752"
"29.07.2018 19:30 - 29.07.2018 19:45","55003","54644"
"29.07.2018 19:45 - 29.07.2018 20:00","54425","54699"
"29.07.2018 20:00 - 29.07.2018 20:15","54520","54989"
"29.07.2018 20:15 - 29.07.2018 20:30","54373","54951"
"29.07.2018 20:30 - 29.07.2018 20:45","53553","54699"
"29.07.2018 20:45 - 29.07.2018 21:00","53541","54445"
"29.07.2018 21:00 - 29.07.2018 21:15","52994","54605"
"29.07.2018 21:15 - 29.07.2018 21:30","53106","54903"
"29.07.2018 21:30 - 29.07.2018 21:45","53518","55375"
"29.07.2018 21:45 - 29.07.2018 22:00","53661","55679"
"29.07.2018 22:00 - 29.07.2018 22:15","54283","55924"
"29.07.2018 22:15 - 29.07.2018 22:30","53726","55427"
"29.07.2018 22:30 - 29.07.2018 22:45","52896","54571"
"29.07.2018 22:45 - 29.07.2018 23:00","51825","53651"
"29.07.2018 23:00 - 29.07.2018 23:15","50863","52653"
"29.07.2018 23:15 - 29.07.2018 23:30","50087","51934"
"29.07.2018 23:30 - 29.07.2018 23:45","49326","51093"
"29.07.2018 23:45 - 30.07.2018 00:00","48567","50344"
"30.07.2018 00:00 - 30.07.2018 00:15","48569","49825"
"30.07.2018 00:15 - 30.07.2018 00:30","47743","49413"
"30.07.2018 00:30 - 30.07.2018 00:45","47167","49084"
"30.07.2018 00:45 - 30.07.2018 01:00","46616","48685"
"30.07.2018 01:00 - 30.07.2018 01:15","46234","48055"
"30.07.2018 01:15 - 30.07.2018 01:30","45824","47784"
"30.07.2018 01:30 - 30.07.2018 01:45","45485","47451"
"30.07.2018 01:45 - 30.07.2018 02:00","45188","47309"
"30.07.2018 02:00 - 30.07.2018 02:15","45015","46993"
"30.07.2018 02:15 - 30.07.2018 02:30","44819","46709"
"30.07.2018 02:30 - 30.07.2018 02:45","44735","46591"
"30.07.2018 02:45 - 30.07.2018 03:00","44654","46537"
"30.07.2018 03:00 - 30.07.2018 03:15","44691","46754"
"30.07.2018 03:15 - 30.07.2018 03:30","44722","46701"
"30.07.2018 03:30 - 30.07.2018 03:45","44741","46763"
"30.07.2018 03:45 - 30.07.2018 04:00","44886","46689"
"30.07.2018 04:00 - 30.07.2018 04:15","45518","47023"
"30.07.2018 04:15 - 30.07.2018 04:30","45967","47172"
"30.07.2018 04:30 - 30.07.2018 04:45","46543","47583"
"30.07.2018 04:45 - 30.07.2018 05:00","47184","48312"
"30.07.2018 05:00 - 30.07.2018 05:15","48615","50122"
"30.07.2018 05:15 - 30.07.2018 05:30","49563","50753"
"30.07.2018 05:30 - 30.07.2018 05:45","50911","51616"
"30.07.2018 05:45 - 30.07.2018 06:00","52553","53066"
"30.07.2018 06:00 - 30.07.2018 06:15","55888","56643"
"30.07.2018 06:15 - 30.07.2018 06:30","58368","58569"
"30.07.2018 06:30 - 30.07.2018 06:45","60258","60481"
"30.07.2018 06:45 - 30.07.2018 07:00","62091","62016"
"30.07.2018 07:00 - 30.07.2018 07:15","64104","64197"
"30.07.2018 07:15 - 30.07.2018 07:30","65583","65754"
"30.07.2018 07:30 - 30.07.2018 07:45","66839","67113"
"30.07.2018 07:45 - 30.07.2018 08:00","67994","68195"
"30.07.2018 08:00 - 30.07.2018 08:15","69186","69396"
"30.07.2018 08:15 - 30.07.2018 08:30","69830","70431"
"30.07.2018 08:30 - 30.07.2018 08:45","70236","71181"
"30.07.2018 08:45 - 30.07.2018 09:00","70413","71825"
"30.07.2018 09:00 - 30.07.2018 09:15","70286","71828"
"30.07.2018 09:15 - 30.07.2018 09:30","70933","72472"
"30.07.2018 09:30 - 30.07.2018 09:45","71528","73327"
"30.07.2018 09:45 - 30.07.2018 10:00","71758","73694"
"30.07.2018 10:00 - 30.07.2018 10:15","72193","73938"
"30.07.2018 10:15 - 30.07.2018 10:30","72585","74364"
"30.07.2018 10:30 - 30.07.2018 10:45","72964","74848"
"30.07.2018 10:45 - 30.07.2018 11:00","73288","75324"
"30.07.2018 11:00 - 30.07.2018 11:15","73872","75673"
"30.07.2018 11:15 - 30.07.2018 11:30","74497","76123"
"30.07.2018 11:30 - 30.07.2018 11:45","74732","76468"
"30.07.2018 11:45 - 30.07.2018 12:00","74780","76540"
"30.07.2018 12:00 - 30.07.2018 12:15","73633","76055"
"30.07.2018 12:15 - 30.07.2018 12:30","72897","75460"
"30.07.2018 12:30 - 30.07.2018 12:45","73230","75626"
"30.07.2018 12:45 - 30.07.2018 13:00","72463","75760"
"30.07.2018 13:00 - 30.07.2018 13:15","73423","75636"
"30.07.2018 13:15 - 30.07.2018 13:30","72912","75390"
"30.07.2018 13:30 - 30.07.2018 13:45","72446","75185"
"30.07.2018 13:45 - 30.07.2018 14:00","72427","74882"
"30.07.2018 14:00 - 30.07.2018 14:15","72092","74470"
"30.07.2018 14:15 - 30.07.2018 14:30","71810","74264"
"30.07.2018 14:30 - 30.07.2018 14:45","70941","73940"
"30.07.2018 14:45 - 30.07.2018 15:00","70975","73974"
"30.07.2018 15:00 - 30.07.2018 15:15","70585","73830"
"30.07.2018 15:15 - 30.07.2018 15:30","70806","73430"
"30.07.2018 15:30 - 30.07.2018 15:45","70263","73068"
"30.07.2018 15:45 - 30.07.2018 16:00","70002","72591"
"30.07.2018 16:00 - 30.07.2018 16:15","69183","72472"
"30.07.2018 16:15 - 30.07.2018 16:30","68619","71939"
"30.07.2018 16:30 - 30.07.2018 16:45","67913","71641"
"30.07.2018 16:45 - 30.07.2018 17:00","68756","71361"
"30.07.2018 17:00 - 30.07.2018 17:15","68649","71248"
"30.07.2018 17:15 - 30.07.2018 17:30","68492","71182"
"30.07.2018 17:30 - 30.07.2018 17:45","68051","71424"
"30.07.2018 17:45 - 30.07.2018 18:00","68397","71286"
"30.07.2018 18:00 - 30.07.2018 18:15","67930","70702"
"30.07.2018 18:15 - 30.07.2018 18:30","67331","70296"
"30.07.2018 18:30 - 30.07.2018 18:45","67900","70365"
"30.07.2018 18:45 - 30.07.2018 19:00","67939","70582"
"30.07.2018 19:00 - 30.07.2018 19:15","67014","70385"
"30.07.2018 19:15 - 30.07.2018 19:30","66462","70064"
"30.07.2018 19:30 - 30.07.2018 19:45","66151","69621"
"30.07.2018 19:45 - 30.07.2018 20:00","66150","69303"
"30.07.2018 20:00 - 30.07.2018 20:15","65360","68317"
"30.07.2018 20:15 - 30.07.2018 20:30","64485","67379"
"30.07.2018 20:30 - 30.07.2018 20:45","64053","66785"
"30.07.2018 20:45 - 30.07.2018 21:00","63015","66300"
"30.07.2018 21:00 - 30.07.2018 21:15","63100","65899"
"30.07.2018 21:15 - 30.07.2018 21:30","62570","65691"
"30.07.2018 21:30 - 30.07.2018 21:45","62474","65396"
"30.07.2018 21:45 - 30.07.2018 22:00","60751","65076"
"30.07.2018 22:00 - 30.07.2018 22:15","60614","64371"
"30.07.2018 22:15 - 30.07.2018 22:30","59443","63456"
"30.07.2018 22:30 - 30.07.2018 22:45","58096","62146"
"30.07.2018 22:45 - 30.07.2018 23:00","57120","61228"
"30.07.2018 23:00 - 30.07.2018 23:15","56255","59638"
"30.07.2018 23:15 - 30.07.2018 23:30","55312","58577"
"30.07.2018 23:30 - 30.07.2018 23:45","54289","57540"
"30.07.2018 23:45 - 31.07.2018 00:00","53442","56552"
"31.07.2018 00:00 - 31.07.2018 00:15","53483","55672"
"31.07.2018 00:15 - 31.07.2018 00:30","52618","55151"
"31.07.2018 00:30 - 31.07.2018 00:45","51969","54562"
"31.07.2018 00:45 - 31.07.2018 01:00","51492","53951"
"31.07.2018 01:00 - 31.07.2018 01:15","51006","53467"
"31.07.2018 01:15 - 31.07.2018 01:30","50621","52778"
"31.07.2018 01:30 - 31.07.2018 01:45","50220","52348"
"31.07.2018 01:45 - 31.07.2018 02:00","49891","51855"
"31.07.2018 02:00 - 31.07.2018 02:15","49400","51473"
"31.07.2018 02:15 - 31.07.2018 02:30","49208","50938"
"31.07.2018 02:30 - 31.07.2018 02:45","49165","50734"
"31.07.2018 02:45 - 31.07.2018 03:00","49099","50555"
"31.07.2018 03:00 - 31.07.2018 03:15","49109","50741"
"31.07.2018 03:15 - 31.07.2018 03:30","49163","50593"
"31.07.2018 03:30 - 31.07.2018 03:45","49145","50496"
"31.07.2018 03:45 - 31.07.2018 04:00","49098","50646"
"31.07.2018 04:00 - 31.07.2018 04:15","49467","50942"
"31.07.2018 04:15 - 31.07.2018 04:30","49814","51144"
"31.07.2018 04:30 - 31.07.2018 04:45","50276","51675"
"31.07.2018 04:45 - 31.07.2018 05:00","50871","52143"
"31.07.2018 05:00 - 31.07.2018 05:15","52078","53150"
"31.07.2018 05:15 - 31.07.2018 05:30","52781","53827"
"31.07.2018 05:30 - 31.07.2018 05:45","53858","54597"
"31.07.2018 05:45 - 31.07.2018 06:00","55254","55688"
"31.07.2018 06:00 - 31.07.2018 06:15","58468","58856"
"31.07.2018 06:15 - 31.07.2018 06:30","60803","60780"
"31.07.2018 06:30 - 31.07.2018 06:45","62646","62587"
"31.07.2018 06:45 - 31.07.2018 07:00","64186","63925"
"31.07.2018 07:00 - 31.07.2018 07:15","66207","65915"
"31.07.2018 07:15 - 31.07.2018 07:30","67529","67576"
"31.07.2018 07:30 - 31.07.2018 07:45","67929","68700"
"31.07.2018 07:45 - 31.07.2018 08:00","69028","69907"
"31.07.2018 08:00 - 31.07.2018 08:15","70077","71155"
"31.07.2018 08:15 - 31.07.2018 08:30","70819","72191"
"31.07.2018 08:30 - 31.07.2018 08:45","71367","72954"
"31.07.2018 08:45 - 31.07.2018 09:00","71613","73414"
"31.07.2018 09:00 - 31.07.2018 09:15","71500","73345"
"31.07.2018 09:15 - 31.07.2018 09:30","72051","74031"
"31.07.2018 09:30 - 31.07.2018 09:45","72635","75050"
"31.07.2018 09:45 - 31.07.2018 10:00","73006","75410"
"31.07.2018 10:00 - 31.07.2018 10:15","73347","75621"
"31.07.2018 10:15 - 31.07.2018 10:30","73789","76158"
"31.07.2018 10:30 - 31.07.2018 10:45","74189","76802"
"31.07.2018 10:45 - 31.07.2018 11:00","74609","77397"
"31.07.2018 11:00 - 31.07.2018 11:15","75085","77652"
"31.07.2018 11:15 - 31.07.2018 11:30","75516","78153"
"31.07.2018 11:30 - 31.07.2018 11:45","75735","78519"
"31.07.2018 11:45 - 31.07.2018 12:00","75337","78345"
"31.07.2018 12:00 - 31.07.2018 12:15","75093","77408"
"31.07.2018 12:15 - 31.07.2018 12:30","74889","77274"
"31.07.2018 12:30 - 31.07.2018 12:45","74699","76983"
"31.07.2018 12:45 - 31.07.2018 13:00","74736","76912"
"31.07.2018 13:00 - 31.07.2018 13:15","74403","76701"
"31.07.2018 13:15 - 31.07.2018 13:30","74232","76675"
"31.07.2018 13:30 - 31.07.2018 13:45","73694","76281"
"31.07.2018 13:45 - 31.07.2018 14:00","73026","75766"
"31.07.2018 14:00 - 31.07.2018 14:15","72813","75601"
"31.07.2018 14:15 - 31.07.2018 14:30","72681","75359"
"31.07.2018 14:30 - 31.07.2018 14:45","72358","75058"
"31.07.2018 14:45 - 31.07.2018 15:00","72585","74800"
"31.07.2018 15:00 - 31.07.2018 15:15","72595","74765"
"31.07.2018 15:15 - 31.07.2018 15:30","72020","74273"
"31.07.2018 15:30 - 31.07.2018 15:45","71789","73917"
"31.07.2018 15:45 - 31.07.2018 16:00","71400","73436"
"31.07.2018 16:00 - 31.07.2018 16:15","71072","73242"
"31.07.2018 16:15 - 31.07.2018 16:30","70720","72929"
"31.07.2018 16:30 - 31.07.2018 16:45","70389","72685"
"31.07.2018 16:45 - 31.07.2018 17:00","69983","72429"
"31.07.2018 17:00 - 31.07.2018 17:15","69928","72214"
"31.07.2018 17:15 - 31.07.2018 17:30","69871","72339"
"31.07.2018 17:30 - 31.07.2018 17:45","69878","72175"
"31.07.2018 17:45 - 31.07.2018 18:00","69798","71993"
"31.07.2018 18:00 - 31.07.2018 18:15","69222","71954"
"31.07.2018 18:15 - 31.07.2018 18:30","69053","71585"
"31.07.2018 18:30 - 31.07.2018 18:45","69208","71479"
"31.07.2018 18:45 - 31.07.2018 19:00","69136","71589"
"31.07.2018 19:00 - 31.07.2018 19:15","68789","71115"
"31.07.2018 19:15 - 31.07.2018 19:30","68269","70518"
"31.07.2018 19:30 - 31.07.2018 19:45","67865","70153"
"31.07.2018 19:45 - 31.07.2018 20:00","67451","69807"
"31.07.2018 20:00 - 31.07.2018 20:15","66692","68927"
"31.07.2018 20:15 - 31.07.2018 20:30","65953","68161"
"31.07.2018 20:30 - 31.07.2018 20:45","65244","67667"
"31.07.2018 20:45 - 31.07.2018 21:00","64657","67173"
"31.07.2018 21:00 - 31.07.2018 21:15","63775","66832"
"31.07.2018 21:15 - 31.07.2018 21:30","63539","66485"
"31.07.2018 21:30 - 31.07.2018 21:45","63224","66256"
"31.07.2018 21:45 - 31.07.2018 22:00","62476","65531"
"31.07.2018 22:00 - 31.07.2018 22:15","62353","64964"
"31.07.2018 22:15 - 31.07.2018 22:30","61161","63982"
"31.07.2018 22:30 - 31.07.2018 22:45","59884","62842"
"31.07.2018 22:45 - 31.07.2018 23:00","58567","61706"
"31.07.2018 23:00 - 31.07.2018 23:15","57212","60339"
"31.07.2018 23:15 - 31.07.2018 23:30","56071","59298"
"31.07.2018 23:30 - 31.07.2018 23:45","55026","58160"
"31.07.2018 23:45 - 01.08.2018 00:00","54216","57455"
"01.08.2018 00:00 - 01.08.2018 00:15","55880","56539"
"01.08.2018 00:15 - 01.08.2018 00:30","55069","55723"
"01.08.2018 00:30 - 01.08.2018 00:45","54602","55012"
"01.08.2018 00:45 - 01.08.2018 01:00","54080","54314"
"01.08.2018 01:00 - 01.08.2018 01:15","53452","53472"
"01.08.2018 01:15 - 01.08.2018 01:30","52594","53082"
"01.08.2018 01:30 - 01.08.2018 01:45","52601","52717"
"01.08.2018 01:45 - 01.08.2018 02:00","51989","52350"
"01.08.2018 02:00 - 01.08.2018 02:15","51645","52013"
"01.08.2018 02:15 - 01.08.2018 02:30","51277","51793"
"01.08.2018 02:30 - 01.08.2018 02:45","51606","51773"
"01.08.2018 02:45 - 01.08.2018 03:00","51565","51719"
"01.08.2018 03:00 - 01.08.2018 03:15","51355","51719"
"01.08.2018 03:15 - 01.08.2018 03:30","51443","51650"
"01.08.2018 03:30 - 01.08.2018 03:45","51434","51639"
"01.08.2018 03:45 - 01.08.2018 04:00","51411","51794"
"01.08.2018 04:00 - 01.08.2018 04:15","51992","52073"
"01.08.2018 04:15 - 01.08.2018 04:30","52011","52337"
"01.08.2018 04:30 - 01.08.2018 04:45","52658","52645"
"01.08.2018 04:45 - 01.08.2018 05:00","53130","53525"
"01.08.2018 05:00 - 01.08.2018 05:15","54295","54883"
"01.08.2018 05:15 - 01.08.2018 05:30","54860","55359"
"01.08.2018 05:30 - 01.08.2018 05:45","55843","56385"
"01.08.2018 05:45 - 01.08.2018 06:00","57122","57427"
"01.08.2018 06:00 - 01.08.2018 06:15","59660","60410"
"01.08.2018 06:15 - 01.08.2018 06:30","62044","62384"
"01.08.2018 06:30 - 01.08.2018 06:45","63681","63877"
"01.08.2018 06:45 - 01.08.2018 07:00","65312","65383"
"01.08.2018 07:00 - 01.08.2018 07:15","67154","67389"
"01.08.2018 07:15 - 01.08.2018 07:30","68715","68623"
"01.08.2018 07:30 - 01.08.2018 07:45","70115","69847"
"01.08.2018 07:45 - 01.08.2018 08:00","71183","70646"
"01.08.2018 08:00 - 01.08.2018 08:15","72467","71270"
"01.08.2018 08:15 - 01.08.2018 08:30","72965","72121"
"01.08.2018 08:30 - 01.08.2018 08:45","73538","72871"
"01.08.2018 08:45 - 01.08.2018 09:00","73801","73357"
"01.08.2018 09:00 - 01.08.2018 09:15","73847","73265"
"01.08.2018 09:15 - 01.08.2018 09:30","74839","73798"
"01.08.2018 09:30 - 01.08.2018 09:45","74871","74462"
"01.08.2018 09:45 - 01.08.2018 10:00","75441","74933"
"01.08.2018 10:00 - 01.08.2018 10:15","75524","75317"
"01.08.2018 10:15 - 01.08.2018 10:30","75661","75763"
"01.08.2018 10:30 - 01.08.2018 10:45","75971","76098"
"01.08.2018 10:45 - 01.08.2018 11:00","76358","76470"
"01.08.2018 11:00 - 01.08.2018 11:15","76832","76896"
"01.08.2018 11:15 - 01.08.2018 11:30","77122","78031"
"01.08.2018 11:30 - 01.08.2018 11:45","77354","78548"
"01.08.2018 11:45 - 01.08.2018 12:00","76977","78334"
"01.08.2018 12:00 - 01.08.2018 12:15","76699","78037"
"01.08.2018 12:15 - 01.08.2018 12:30","76380","77530"
"01.08.2018 12:30 - 01.08.2018 12:45","76281","77170"
"01.08.2018 12:45 - 01.08.2018 13:00","76515","77120"
"01.08.2018 13:00 - 01.08.2018 13:15","76155","77168"
"01.08.2018 13:15 - 01.08.2018 13:30","76288","77063"
"01.08.2018 13:30 - 01.08.2018 13:45","75628","76581"
"01.08.2018 13:45 - 01.08.2018 14:00","75540","75697"
"01.08.2018 14:00 - 01.08.2018 14:15","75123","75366"
"01.08.2018 14:15 - 01.08.2018 14:30","74795","75002"
"01.08.2018 14:30 - 01.08.2018 14:45","74592","74658"
"01.08.2018 14:45 - 01.08.2018 15:00","74666","74608"
"01.08.2018 15:00 - 01.08.2018 15:15","75067","74452"
"01.08.2018 15:15 - 01.08.2018 15:30","74016","74199"
"01.08.2018 15:30 - 01.08.2018 15:45","73762","73958"
"01.08.2018 15:45 - 01.08.2018 16:00","73287","73269"
"01.08.2018 16:00 - 01.08.2018 16:15","73430","73098"
"01.08.2018 16:15 - 01.08.2018 16:30","73196","72537"
"01.08.2018 16:30 - 01.08.2018 16:45","73212","72376"
"01.08.2018 16:45 - 01.08.2018 17:00","72353","72179"
"01.08.2018 17:00 - 01.08.2018 17:15","72274","72204"
"01.08.2018 17:15 - 01.08.2018 17:30","72048","72001"
"01.08.2018 17:30 - 01.08.2018 17:45","71555","72055"
"01.08.2018 17:45 - 01.08.2018 18:00","71854","72166"
"01.08.2018 18:00 - 01.08.2018 18:15","71374","71803"
"01.08.2018 18:15 - 01.08.2018 18:30","71217","71620"
"01.08.2018 18:30 - 01.08.2018 18:45","71408","71585"
"01.08.2018 18:45 - 01.08.2018 19:00","70995","71540"
"01.08.2018 19:00 - 01.08.2018 19:15","70643","70948"
"01.08.2018 19:15 - 01.08.2018 19:30","70246","70340"
"01.08.2018 19:30 - 01.08.2018 19:45","69898","69889"
"01.08.2018 19:45 - 01.08.2018 20:00","68987","69256"
"01.08.2018 20:00 - 01.08.2018 20:15","68477","68521"
"01.08.2018 20:15 - 01.08.2018 20:30","67459","67720"
"01.08.2018 20:30 - 01.08.2018 20:45","66915","67219"
"01.08.2018 20:45 - 01.08.2018 21:00","66314","67048"
"01.08.2018 21:00 - 01.08.2018 21:15","65452","66597"
"01.08.2018 21:15 - 01.08.2018 21:30","65446","66609"
"01.08.2018 21:30 - 01.08.2018 21:45","65146","66376"
"01.08.2018 21:45 - 01.08.2018 22:00","64470","65528"
"01.08.2018 22:00 - 01.08.2018 22:15","63994","65007"
"01.08.2018 22:15 - 01.08.2018 22:30","61811","63783"
"01.08.2018 22:30 - 01.08.2018 22:45","61265","62628"
"01.08.2018 22:45 - 01.08.2018 23:00","59558","61599"
"01.08.2018 23:00 - 01.08.2018 23:15","59081","60076"
"01.08.2018 23:15 - 01.08.2018 23:30","57932","59202"
"01.08.2018 23:30 - 01.08.2018 23:45","56411","58185"
"01.08.2018 23:45 - 02.08.2018 00:00","55640","57224"
"02.08.2018 00:00 - 02.08.2018 00:15","55523","56463"
"02.08.2018 00:15 - 02.08.2018 00:30","54490","55798"
"02.08.2018 00:30 - 02.08.2018 00:45","53815","54952"
"02.08.2018 00:45 - 02.08.2018 01:00","53233","54121"
"02.08.2018 01:00 - 02.08.2018 01:15","52600","53471"
"02.08.2018 01:15 - 02.08.2018 01:30","52075","53268"
"02.08.2018 01:30 - 02.08.2018 01:45","51742","52856"
"02.08.2018 01:45 - 02.08.2018 02:00","51310","52581"
"02.08.2018 02:00 - 02.08.2018 02:15","50980","52077"
"02.08.2018 02:15 - 02.08.2018 02:30","50741","51572"
"02.08.2018 02:30 - 02.08.2018 02:45","50708","51524"
"02.08.2018 02:45 - 02.08.2018 03:00","50697","51450"
"02.08.2018 03:00 - 02.08.2018 03:15","50737","51763"
"02.08.2018 03:15 - 02.08.2018 03:30","50765","51818"
"02.08.2018 03:30 - 02.08.2018 03:45","50747","51673"
"02.08.2018 03:45 - 02.08.2018 04:00","50828","51817"
"02.08.2018 04:00 - 02.08.2018 04:15","51079","52185"
"02.08.2018 04:15 - 02.08.2018 04:30","51313","52416"
"02.08.2018 04:30 - 02.08.2018 04:45","51799","52818"
"02.08.2018 04:45 - 02.08.2018 05:00","52302","53544"
"02.08.2018 05:00 - 02.08.2018 05:15","53453","54822"
"02.08.2018 05:15 - 02.08.2018 05:30","54205","55638"
"02.08.2018 05:30 - 02.08.2018 05:45","55087","56531"
"02.08.2018 05:45 - 02.08.2018 06:00","56444","57602"
"02.08.2018 06:00 - 02.08.2018 06:15","59426","60387"
"02.08.2018 06:15 - 02.08.2018 06:30","61791","62130"
"02.08.2018 06:30 - 02.08.2018 06:45","63421","63803"
"02.08.2018 06:45 - 02.08.2018 07:00","64934","65197"
"02.08.2018 07:00 - 02.08.2018 07:15","66824","67208"
"02.08.2018 07:15 - 02.08.2018 07:30","68293","68477"
"02.08.2018 07:30 - 02.08.2018 07:45","69417","69734"
"02.08.2018 07:45 - 02.08.2018 08:00","70427","70984"
"02.08.2018 08:00 - 02.08.2018 08:15","71504","72128"
"02.08.2018 08:15 - 02.08.2018 08:30","72190","72842"
"02.08.2018 08:30 - 02.08.2018 08:45","72627","73444"
"02.08.2018 08:45 - 02.08.2018 09:00","72897","73966"
"02.08.2018 09:00 - 02.08.2018 09:15","72854","73825"
"02.08.2018 09:15 - 02.08.2018 09:30","73446","74363"
"02.08.2018 09:30 - 02.08.2018 09:45","73978","74980"
"02.08.2018 09:45 - 02.08.2018 10:00","74289","75451"
"02.08.2018 10:00 - 02.08.2018 10:15","74817","75895"
"02.08.2018 10:15 - 02.08.2018 10:30","75165","76236"
"02.08.2018 10:30 - 02.08.2018 10:45","75503","76817"
"02.08.2018 10:45 - 02.08.2018 11:00","75790","77129"
"02.08.2018 11:00 - 02.08.2018 11:15","76018","77561"
"02.08.2018 11:15 - 02.08.2018 11:30","76638","77991"
"02.08.2018 11:30 - 02.08.2018 11:45","76771","78124"
"02.08.2018 11:45 - 02.08.2018 12:00","76242","78094"
"02.08.2018 12:00 - 02.08.2018 12:15","75941","77480"
"02.08.2018 12:15 - 02.08.2018 12:30","75678","77196"
"02.08.2018 12:30 - 02.08.2018 12:45","75510","77238"
"02.08.2018 12:45 - 02.08.2018 13:00","75568","77159"
"02.08.2018 13:00 - 02.08.2018 13:15","75116","77115"
"02.08.2018 13:15 - 02.08.2018 13:30","75312","76998"
"02.08.2018 13:30 - 02.08.2018 13:45","74628","76441"
"02.08.2018 13:45 - 02.08.2018 14:00","74120","75791"
"02.08.2018 14:00 - 02.08.2018 14:15","74081","75584"
"02.08.2018 14:15 - 02.08.2018 14:30","73781","75532"
"02.08.2018 14:30 - 02.08.2018 14:45","73986","75317"
"02.08.2018 14:45 - 02.08.2018 15:00","74011","74993"
"02.08.2018 15:00 - 02.08.2018 15:15","74485","75153"
"02.08.2018 15:15 - 02.08.2018 15:30","73397","74872"
"02.08.2018 15:30 - 02.08.2018 15:45","73146","74347"
"02.08.2018 15:45 - 02.08.2018 16:00","72786","73843"
"02.08.2018 16:00 - 02.08.2018 16:15","72387","73786"
"02.08.2018 16:15 - 02.08.2018 16:30","72155","73539"
"02.08.2018 16:30 - 02.08.2018 16:45","72144","73253"
"02.08.2018 16:45 - 02.08.2018 17:00","71701","73128"
"02.08.2018 17:00 - 02.08.2018 17:15","71598","72998"
