"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"12.01.2017 02:00 - 12.01.2017 03:00 (CET/CEST)","59310","0"
"12.01.2017 03:00 - 12.01.2017 04:00 (CET/CEST)","59225","0"
"12.01.2017 04:00 - 12.01.2017 05:00 (CET/CEST)","59903","0"
"12.01.2017 05:00 - 12.01.2017 06:00 (CET/CEST)","61913","0"
"12.01.2017 06:00 - 12.01.2017 07:00 (CET/CEST)","68873","0"
"12.01.2017 07:00 - 12.01.2017 08:00 (CET/CEST)","75246","0"
"12.01.2017 08:00 - 12.01.2017 09:00 (CET/CEST)","78655","0"
"12.01.2017 09:00 - 12.01.2017 10:00 (CET/CEST)","79504","0"
"12.01.2017 10:00 - 12.01.2017 11:00 (CET/CEST)","79457","0"
"12.01.2017 11:00 - 12.01.2017 12:00 (CET/CEST)","80088","0"
"12.01.2017 12:00 - 12.01.2017 13:00 (CET/CEST)","79945","0"
"12.01.2017 13:00 - 12.01.2017 14:00 (CET/CEST)","79559","0"
"12.01.2017 14:00 - 12.01.2017 15:00 (CET/CEST)","77648","0"
"12.01.2017 15:00 - 12.01.2017 16:00 (CET/CEST)","76485","0"
"12.01.2017 16:00 - 12.01.2017 17:00 (CET/CEST)","76686","0"
"12.01.2017 17:00 - 12.01.2017 18:00 (CET/CEST)","78104","0"
"12.01.2017 18:00 - 12.01.2017 19:00 (CET/CEST)","78214","0"
"12.01.2017 19:00 - 12.01.2017 20:00 (CET/CEST)","77556","0"
"12.01.2017 20:00 - 12.01.2017 21:00 (CET/CEST)","74123","0"
"12.01.2017 21:00 - 12.01.2017 22:00 (CET/CEST)","69655","0"
"12.01.2017 22:00 - 12.01.2017 23:00 (CET/CEST)","66923","0"
"12.01.2017 23:00 - 13.01.2017 00:00 (CET/CEST)","62933","0"
"13.01.2017 00:00 - 13.01.2017 01:00 (CET/CEST)","54361","0"
"13.01.2017 01:00 - 13.01.2017 02:00 (CET/CEST)","52116","0"
"13.01.2017 02:00 - 13.01.2017 03:00 (CET/CEST)","51006","0"
"13.01.2017 03:00 - 13.01.2017 04:00 (CET/CEST)","51094","0"
"13.01.2017 04:00 - 13.01.2017 05:00 (CET/CEST)","54360","0"
"13.01.2017 05:00 - 13.01.2017 06:00 (CET/CEST)","57325","0"
"13.01.2017 06:00 - 13.01.2017 07:00 (CET/CEST)","65356","0"
"13.01.2017 07:00 - 13.01.2017 08:00 (CET/CEST)","73017","0"
"13.01.2017 08:00 - 13.01.2017 09:00 (CET/CEST)","76454","0"
"13.01.2017 09:00 - 13.01.2017 10:00 (CET/CEST)","78138","0"
"13.01.2017 10:00 - 13.01.2017 11:00 (CET/CEST)","77946","0"
"13.01.2017 11:00 - 13.01.2017 12:00 (CET/CEST)","77746","0"
"13.01.2017 12:00 - 13.01.2017 13:00 (CET/CEST)","77403","0"
"13.01.2017 13:00 - 13.01.2017 14:00 (CET/CEST)","76042","0"
"13.01.2017 14:00 - 13.01.2017 15:00 (CET/CEST)","73848","0"
"13.01.2017 15:00 - 13.01.2017 16:00 (CET/CEST)","72161","0"
"13.01.2017 16:00 - 13.01.2017 17:00 (CET/CEST)","71987","0"
"13.01.2017 17:00 - 13.01.2017 18:00 (CET/CEST)","74417","0"
"13.01.2017 18:00 - 13.01.2017 19:00 (CET/CEST)","73867","0"
"13.01.2017 19:00 - 13.01.2017 20:00 (CET/CEST)","72656","0"
"13.01.2017 20:00 - 13.01.2017 21:00 (CET/CEST)","69577","0"
"13.01.2017 21:00 - 13.01.2017 22:00 (CET/CEST)","64811","0"
"13.01.2017 22:00 - 13.01.2017 23:00 (CET/CEST)","62345","0"
"13.01.2017 23:00 - 14.01.2017 00:00 (CET/CEST)","60650","0"
"14.01.2017 00:00 - 14.01.2017 01:00 (CET/CEST)","55589","0"
"14.01.2017 01:00 - 14.01.2017 02:00 (CET/CEST)","54538","0"
"14.01.2017 02:00 - 14.01.2017 03:00 (CET/CEST)","53425","0"
"14.01.2017 03:00 - 14.01.2017 04:00 (CET/CEST)","53677","0"
"14.01.2017 04:00 - 14.01.2017 05:00 (CET/CEST)","53755","0"
"14.01.2017 05:00 - 14.01.2017 06:00 (CET/CEST)","54974","0"
"14.01.2017 06:00 - 14.01.2017 07:00 (CET/CEST)","56501","0"
"14.01.2017 07:00 - 14.01.2017 08:00 (CET/CEST)","60278","0"
"14.01.2017 08:00 - 14.01.2017 09:00 (CET/CEST)","63941","0"
"14.01.2017 09:00 - 14.01.2017 10:00 (CET/CEST)","65625","0"
"14.01.2017 10:00 - 14.01.2017 11:00 (CET/CEST)","66672","0"
"14.01.2017 11:00 - 14.01.2017 12:00 (CET/CEST)","67725","0"
"14.01.2017 12:00 - 14.01.2017 13:00 (CET/CEST)","67705","0"
"14.01.2017 13:00 - 14.01.2017 14:00 (CET/CEST)","67210","0"
"14.01.2017 14:00 - 14.01.2017 15:00 (CET/CEST)","65589","0"
"14.01.2017 15:00 - 14.01.2017 16:00 (CET/CEST)","64039","0"
"14.01.2017 16:00 - 14.01.2017 17:00 (CET/CEST)","64474","0"
"14.01.2017 17:00 - 14.01.2017 18:00 (CET/CEST)","67047","0"
