"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2017 08:45 - 03.01.2017 09:00","71388","78162"
"03.01.2017 09:00 - 03.01.2017 09:15","71328","78286"
"03.01.2017 09:15 - 03.01.2017 09:30","71760","78896"
"03.01.2017 09:30 - 03.01.2017 09:45","71667","79372"
"03.01.2017 09:45 - 03.01.2017 10:00","72072","79871"
"03.01.2017 10:00 - 03.01.2017 10:15","72279","80364"
"03.01.2017 10:15 - 03.01.2017 10:30","72755","80546"
"03.01.2017 10:30 - 03.01.2017 10:45","72871","81101"
"03.01.2017 10:45 - 03.01.2017 11:00","73250","81344"
"03.01.2017 11:00 - 03.01.2017 11:15","73331","81628"
"03.01.2017 11:15 - 03.01.2017 11:30","73554","82055"
"03.01.2017 11:30 - 03.01.2017 11:45","74077","82350"
"03.01.2017 11:45 - 03.01.2017 12:00","73903","82409"
"03.01.2017 12:00 - 03.01.2017 12:15","73824","82152"
"03.01.2017 12:15 - 03.01.2017 12:30","74131","81964"
"03.01.2017 12:30 - 03.01.2017 12:45","73805","82024"
"03.01.2017 12:45 - 03.01.2017 13:00","73846","81854"
"03.01.2017 13:00 - 03.01.2017 13:15","73582","81788"
"03.01.2017 13:15 - 03.01.2017 13:30","73359","81256"
"03.01.2017 13:30 - 03.01.2017 13:45","73019","81017"
"03.01.2017 13:45 - 03.01.2017 14:00","72361","80336"
"03.01.2017 14:00 - 03.01.2017 14:15","72009","80479"
"03.01.2017 14:15 - 03.01.2017 14:30","71393","80170"
"03.01.2017 14:30 - 03.01.2017 14:45","71529","79927"
"03.01.2017 14:45 - 03.01.2017 15:00","71833","79716"
"03.01.2017 15:00 - 03.01.2017 15:15","72398","80064"
"03.01.2017 15:15 - 03.01.2017 15:30","71332","79874"
"03.01.2017 15:30 - 03.01.2017 15:45","71428","79832"
"03.01.2017 15:45 - 03.01.2017 16:00","71562","79702"
"03.01.2017 16:00 - 03.01.2017 16:15","71725","80208"
"03.01.2017 16:15 - 03.01.2017 16:30","72859","80580"
"03.01.2017 16:30 - 03.01.2017 16:45","74260","81470"
"03.01.2017 16:45 - 03.01.2017 17:00","74157","82622"
"03.01.2017 17:00 - 03.01.2017 17:15","75725","83600"
"03.01.2017 17:15 - 03.01.2017 17:30","76229","84422"
"03.01.2017 17:30 - 03.01.2017 17:45","76861","84765"
"03.01.2017 17:45 - 03.01.2017 18:00","76523","84929"
"03.01.2017 18:00 - 03.01.2017 18:15","76099","84386"
"03.01.2017 18:15 - 03.01.2017 18:30","76148","83875"
"03.01.2017 18:30 - 03.01.2017 18:45","75900","83470"
