"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"11.12.2017 20:30 - 11.12.2017 20:45","76226","79819"
"11.12.2017 20:45 - 11.12.2017 21:00","75680","78762"
"11.12.2017 21:00 - 11.12.2017 21:15","74511","77816"
"11.12.2017 21:15 - 11.12.2017 21:30","74096","77283"
"11.12.2017 21:30 - 11.12.2017 21:45","73929","76167"
"11.12.2017 21:45 - 11.12.2017 22:00","72404","74847"
"11.12.2017 22:00 - 11.12.2017 22:15","72386","74935"
"11.12.2017 22:15 - 11.12.2017 22:30","71710","74220"
"11.12.2017 22:30 - 11.12.2017 22:45","70563","72781"
"11.12.2017 22:45 - 11.12.2017 23:00","69289","71350"
"11.12.2017 23:00 - 11.12.2017 23:15","67627","69541"
"11.12.2017 23:15 - 11.12.2017 23:30","66381","67882"
"11.12.2017 23:30 - 11.12.2017 23:45","65164","66825"
"11.12.2017 23:45 - 12.12.2017 00:00","64222","65702"
"12.12.2017 00:00 - 12.12.2017 00:15","63262","64331"
"12.12.2017 00:15 - 12.12.2017 00:30","62479","63539"
"12.12.2017 00:30 - 12.12.2017 00:45","61647","62796"
"12.12.2017 00:45 - 12.12.2017 01:00","61141","61974"
"12.12.2017 01:00 - 12.12.2017 01:15","60419","61221"
"12.12.2017 01:15 - 12.12.2017 01:30","59993","60867"
"12.12.2017 01:30 - 12.12.2017 01:45","59744","60679"
"12.12.2017 01:45 - 12.12.2017 02:00","59445","60350"
"12.12.2017 02:00 - 12.12.2017 02:15","59002","60125"
"12.12.2017 02:15 - 12.12.2017 02:30","58870","60151"
"12.12.2017 02:30 - 12.12.2017 02:45","58740","60098"
"12.12.2017 02:45 - 12.12.2017 03:00","58836","60163"
"12.12.2017 03:00 - 12.12.2017 03:15","58917","60418"
"12.12.2017 03:15 - 12.12.2017 03:30","58983","60433"
"12.12.2017 03:30 - 12.12.2017 03:45","59142","60807"
"12.12.2017 03:45 - 12.12.2017 04:00","59275","61088"
"12.12.2017 04:00 - 12.12.2017 04:15","59882","61512"
"12.12.2017 04:15 - 12.12.2017 04:30","60129","62413"
"12.12.2017 04:30 - 12.12.2017 04:45","60597","62912"
"12.12.2017 04:45 - 12.12.2017 05:00","61080","63457"
"12.12.2017 05:00 - 12.12.2017 05:15","62382","65320"
"12.12.2017 05:15 - 12.12.2017 05:30","63279","66157"
"12.12.2017 05:30 - 12.12.2017 05:45","64586","67496"
"12.12.2017 05:45 - 12.12.2017 06:00","66066","69233"
"12.12.2017 06:00 - 12.12.2017 06:15","69397","72643"
"12.12.2017 06:15 - 12.12.2017 06:30","71911","75470"
"12.12.2017 06:30 - 12.12.2017 06:45","73750","77950"
"12.12.2017 06:45 - 12.12.2017 07:00","75860","79862"
"12.12.2017 07:00 - 12.12.2017 07:15","78436","82475"
"12.12.2017 07:15 - 12.12.2017 07:30","79710","83710"
"12.12.2017 07:30 - 12.12.2017 07:45","81551","85050"
"12.12.2017 07:45 - 12.12.2017 08:00","82232","86031"
"12.12.2017 08:00 - 12.12.2017 08:15","83259","86932"
"12.12.2017 08:15 - 12.12.2017 08:30","83154","87227"
"12.12.2017 08:30 - 12.12.2017 08:45","83494","87530"
"12.12.2017 08:45 - 12.12.2017 09:00","83484","87382"
"12.12.2017 09:00 - 12.12.2017 09:15","83271","86880"
"12.12.2017 09:15 - 12.12.2017 09:30","83523","87000"
"12.12.2017 09:30 - 12.12.2017 09:45","83657","87519"
"12.12.2017 09:45 - 12.12.2017 10:00","83973","87725"
"12.12.2017 10:00 - 12.12.2017 10:15","84073","88048"
"12.12.2017 10:15 - 12.12.2017 10:30","84089","87975"
"12.12.2017 10:30 - 12.12.2017 10:45","84484","87967"
"12.12.2017 10:45 - 12.12.2017 11:00","84650","88306"
"12.12.2017 11:00 - 12.12.2017 11:15","84651","88706"
"12.12.2017 11:15 - 12.12.2017 11:30","84855","89033"
"12.12.2017 11:30 - 12.12.2017 11:45","84878","89134"
"12.12.2017 11:45 - 12.12.2017 12:00","84717","88926"
"12.12.2017 12:00 - 12.12.2017 12:15","84217","88372"
"12.12.2017 12:15 - 12.12.2017 12:30","84147","88078"
"12.12.2017 12:30 - 12.12.2017 12:45","84106","87926"
"12.12.2017 12:45 - 12.12.2017 13:00","84298","87885"
"12.12.2017 13:00 - 12.12.2017 13:15","84287","87975"
"12.12.2017 13:15 - 12.12.2017 13:30","83929","87675"
"12.12.2017 13:30 - 12.12.2017 13:45","83595","87401"
"12.12.2017 13:45 - 12.12.2017 14:00","82917","86911"
"12.12.2017 14:00 - 12.12.2017 14:15","82789","86509"
"12.12.2017 14:15 - 12.12.2017 14:30","82638","86374"
"12.12.2017 14:30 - 12.12.2017 14:45","82768","86162"
"12.12.2017 14:45 - 12.12.2017 15:00","82516","85965"
"12.12.2017 15:00 - 12.12.2017 15:15","82287","86302"
"12.12.2017 15:15 - 12.12.2017 15:30","82480","86247"
"12.12.2017 15:30 - 12.12.2017 15:45","82203","86180"
"12.12.2017 15:45 - 12.12.2017 16:00","82112","86175"
"12.12.2017 16:00 - 12.12.2017 16:15","82581","86714"
"12.12.2017 16:15 - 12.12.2017 16:30","82463","87317"
"12.12.2017 16:30 - 12.12.2017 16:45","82668","88097"
"12.12.2017 16:45 - 12.12.2017 17:00","84417","88674"
"12.12.2017 17:00 - 12.12.2017 17:15","85231","89375"
"12.12.2017 17:15 - 12.12.2017 17:30","85344","89538"
"12.12.2017 17:30 - 12.12.2017 17:45","85453","89304"
"12.12.2017 17:45 - 12.12.2017 18:00","85356","89214"
"12.12.2017 18:00 - 12.12.2017 18:15","84839","88619"
"12.12.2017 18:15 - 12.12.2017 18:30","84671","88286"
"12.12.2017 18:30 - 12.12.2017 18:45","84406","88163"
"12.12.2017 18:45 - 12.12.2017 19:00","84160","87465"
"12.12.2017 19:00 - 12.12.2017 19:15","83556","86976"
"12.12.2017 19:15 - 12.12.2017 19:30","82988","85926"
"12.12.2017 19:30 - 12.12.2017 19:45","82376","85186"
"12.12.2017 19:45 - 12.12.2017 20:00","81565","84272"
"12.12.2017 20:00 - 12.12.2017 20:15","80199","82667"
"12.12.2017 20:15 - 12.12.2017 20:30","78760","81230"
"12.12.2017 20:30 - 12.12.2017 20:45","77847","80121"
"12.12.2017 20:45 - 12.12.2017 21:00","76872","78775"
"12.12.2017 21:00 - 12.12.2017 21:15","75276","77654"
"12.12.2017 21:15 - 12.12.2017 21:30","74608","76605"
"12.12.2017 21:30 - 12.12.2017 21:45","74077","75796"
"12.12.2017 21:45 - 12.12.2017 22:00","73136","74547"
"12.12.2017 22:00 - 12.12.2017 22:15","72819","74446"
"12.12.2017 22:15 - 12.12.2017 22:30","72144","73197"
"12.12.2017 22:30 - 12.12.2017 22:45","71052","71761"
"12.12.2017 22:45 - 12.12.2017 23:00","69629","70682"
"12.12.2017 23:00 - 12.12.2017 23:15","67982","69193"
"12.12.2017 23:15 - 12.12.2017 23:30","66728","68012"
"12.12.2017 23:30 - 12.12.2017 23:45","65530","67090"
"12.12.2017 23:45 - 13.12.2017 00:00","64641","66068"
"13.12.2017 00:00 - 13.12.2017 00:15","64006","64915"
"13.12.2017 00:15 - 13.12.2017 00:30","63202","64245"
"13.12.2017 00:30 - 13.12.2017 00:45","62473","63642"
"13.12.2017 00:45 - 13.12.2017 01:00","61673","63002"
"13.12.2017 01:00 - 13.12.2017 01:15","61053","62390"
"13.12.2017 01:15 - 13.12.2017 01:30","60493","62193"
"13.12.2017 01:30 - 13.12.2017 01:45","60164","62001"
"13.12.2017 01:45 - 13.12.2017 02:00","59829","61560"
"13.12.2017 02:00 - 13.12.2017 02:15","59418","60995"
"13.12.2017 02:15 - 13.12.2017 02:30","59210","60819"
"13.12.2017 02:30 - 13.12.2017 02:45","59198","60675"
"13.12.2017 02:45 - 13.12.2017 03:00","59149","60774"
"13.12.2017 03:00 - 13.12.2017 03:15","59323","61086"
"13.12.2017 03:15 - 13.12.2017 03:30","59261","61256"
"13.12.2017 03:30 - 13.12.2017 03:45","59401","61382"
"13.12.2017 03:45 - 13.12.2017 04:00","59553","61448"
"13.12.2017 04:00 - 13.12.2017 04:15","60086","61704"
"13.12.2017 04:15 - 13.12.2017 04:30","60540","62044"
"13.12.2017 04:30 - 13.12.2017 04:45","61041","62725"
"13.12.2017 04:45 - 13.12.2017 05:00","61599","63403"
"13.12.2017 05:00 - 13.12.2017 05:15","63090","64738"
"13.12.2017 05:15 - 13.12.2017 05:30","63724","65475"
"13.12.2017 05:30 - 13.12.2017 05:45","65022","66728"
"13.12.2017 05:45 - 13.12.2017 06:00","66652","68333"
"13.12.2017 06:00 - 13.12.2017 06:15","69971","71949"
"13.12.2017 06:15 - 13.12.2017 06:30","72463","74717"
"13.12.2017 06:30 - 13.12.2017 06:45","74696","77228"
"13.12.2017 06:45 - 13.12.2017 07:00","76552","79281"
"13.12.2017 07:00 - 13.12.2017 07:15","79079","82175"
"13.12.2017 07:15 - 13.12.2017 07:30","80717","83758"
"13.12.2017 07:30 - 13.12.2017 07:45","80816","84818"
"13.12.2017 07:45 - 13.12.2017 08:00","81808","85591"
"13.12.2017 08:00 - 13.12.2017 08:15","82790","86427"
"13.12.2017 08:15 - 13.12.2017 08:30","83177","86619"
"13.12.2017 08:30 - 13.12.2017 08:45","83280","86598"
"13.12.2017 08:45 - 13.12.2017 09:00","83363","86556"
"13.12.2017 09:00 - 13.12.2017 09:15","82971","85847"
"13.12.2017 09:15 - 13.12.2017 09:30","83262","86046"
"13.12.2017 09:30 - 13.12.2017 09:45","83631","86089"
"13.12.2017 09:45 - 13.12.2017 10:00","83932","86521"
"13.12.2017 10:00 - 13.12.2017 10:15","84134","86540"
"13.12.2017 10:15 - 13.12.2017 10:30","84175","86766"
"13.12.2017 10:30 - 13.12.2017 10:45","84457","86979"
"13.12.2017 10:45 - 13.12.2017 11:00","84650","87262"
"13.12.2017 11:00 - 13.12.2017 11:15","84787","87522"
"13.12.2017 11:15 - 13.12.2017 11:30","85139","87806"
"13.12.2017 11:30 - 13.12.2017 11:45","85326","87863"
"13.12.2017 11:45 - 13.12.2017 12:00","85129","87813"
"13.12.2017 12:00 - 13.12.2017 12:15","84685","87217"
"13.12.2017 12:15 - 13.12.2017 12:30","84650","87082"
"13.12.2017 12:30 - 13.12.2017 12:45","84633","87006"
"13.12.2017 12:45 - 13.12.2017 13:00","84884","87068"
"13.12.2017 13:00 - 13.12.2017 13:15","84870","87194"
"13.12.2017 13:15 - 13.12.2017 13:30","84657","87042"
"13.12.2017 13:30 - 13.12.2017 13:45","84284","86834"
"13.12.2017 13:45 - 13.12.2017 14:00","83493","86132"
"13.12.2017 14:00 - 13.12.2017 14:15","83396","86200"
"13.12.2017 14:15 - 13.12.2017 14:30","83167","86751"
"13.12.2017 14:30 - 13.12.2017 14:45","83321","86779"
"13.12.2017 14:45 - 13.12.2017 15:00","83178","86517"
"13.12.2017 15:00 - 13.12.2017 15:15","82891","87162"
"13.12.2017 15:15 - 13.12.2017 15:30","82828","87218"
"13.12.2017 15:30 - 13.12.2017 15:45","82462","87331"
"13.12.2017 15:45 - 13.12.2017 16:00","82519","87495"
"13.12.2017 16:00 - 13.12.2017 16:15","82961","88228"
"13.12.2017 16:15 - 13.12.2017 16:30","82837","88849"
"13.12.2017 16:30 - 13.12.2017 16:45","83223","89582"
"13.12.2017 16:45 - 13.12.2017 17:00","84906","90042"
"13.12.2017 17:00 - 13.12.2017 17:15","85737","90600"
"13.12.2017 17:15 - 13.12.2017 17:30","85756","90591"
"13.12.2017 17:30 - 13.12.2017 17:45","85649","90342"
"13.12.2017 17:45 - 13.12.2017 18:00","85649","89855"
"13.12.2017 18:00 - 13.12.2017 18:15","85101","89336"
"13.12.2017 18:15 - 13.12.2017 18:30","84671","88754"
"13.12.2017 18:30 - 13.12.2017 18:45","84550","88622"
"13.12.2017 18:45 - 13.12.2017 19:00","84259","88320"
"13.12.2017 19:00 - 13.12.2017 19:15","83718","87745"
"13.12.2017 19:15 - 13.12.2017 19:30","83215","87064"
"13.12.2017 19:30 - 13.12.2017 19:45","82726","86444"
"13.12.2017 19:45 - 13.12.2017 20:00","81986","85710"
"13.12.2017 20:00 - 13.12.2017 20:15","80338","83814"
"13.12.2017 20:15 - 13.12.2017 20:30","78857","82279"
"13.12.2017 20:30 - 13.12.2017 20:45","77673","81155"
"13.12.2017 20:45 - 13.12.2017 21:00","76857","80058"
"13.12.2017 21:00 - 13.12.2017 21:15","75447","78900"
"13.12.2017 21:15 - 13.12.2017 21:30","74698","77934"
"13.12.2017 21:30 - 13.12.2017 21:45","73982","77073"
"13.12.2017 21:45 - 13.12.2017 22:00","73049","76115"
"13.12.2017 22:00 - 13.12.2017 22:15","72951","75644"
"13.12.2017 22:15 - 13.12.2017 22:30","72327","74545"
"13.12.2017 22:30 - 13.12.2017 22:45","71074","73312"
"13.12.2017 22:45 - 13.12.2017 23:00","69589","72222"
"13.12.2017 23:00 - 13.12.2017 23:15","67864","70658"
"13.12.2017 23:15 - 13.12.2017 23:30","66589","69150"
"13.12.2017 23:30 - 13.12.2017 23:45","65515","68139"
"13.12.2017 23:45 - 14.12.2017 00:00","64573","67233"
"14.12.2017 00:00 - 14.12.2017 00:15","64108","65716"
"14.12.2017 00:15 - 14.12.2017 00:30","63386","64786"
"14.12.2017 00:30 - 14.12.2017 00:45","62711","63931"
"14.12.2017 00:45 - 14.12.2017 01:00","61994","63314"
"14.12.2017 01:00 - 14.12.2017 01:15","61298","62589"
"14.12.2017 01:15 - 14.12.2017 01:30","60746","62207"
"14.12.2017 01:30 - 14.12.2017 01:45","60468","61675"
"14.12.2017 01:45 - 14.12.2017 02:00","60115","61357"
"14.12.2017 02:00 - 14.12.2017 02:15","59815","61094"
"14.12.2017 02:15 - 14.12.2017 02:30","59662","61048"
"14.12.2017 02:30 - 14.12.2017 02:45","59654","61011"
"14.12.2017 02:45 - 14.12.2017 03:00","59476","61078"
"14.12.2017 03:00 - 14.12.2017 03:15","59657","61192"
"14.12.2017 03:15 - 14.12.2017 03:30","59585","61350"
"14.12.2017 03:30 - 14.12.2017 03:45","59617","61374"
"14.12.2017 03:45 - 14.12.2017 04:00","59805","61394"
"14.12.2017 04:00 - 14.12.2017 04:15","60455","61971"
"14.12.2017 04:15 - 14.12.2017 04:30","60869","62274"
"14.12.2017 04:30 - 14.12.2017 04:45","61351","63133"
"14.12.2017 04:45 - 14.12.2017 05:00","61880","63905"
"14.12.2017 05:00 - 14.12.2017 05:15","63324","65396"
"14.12.2017 05:15 - 14.12.2017 05:30","63995","66333"
"14.12.2017 05:30 - 14.12.2017 05:45","65160","67804"
"14.12.2017 05:45 - 14.12.2017 06:00","66715","69584"
"14.12.2017 06:00 - 14.12.2017 06:15","69889","72718"
"14.12.2017 06:15 - 14.12.2017 06:30","72341","75104"
"14.12.2017 06:30 - 14.12.2017 06:45","74508","77292"
"14.12.2017 06:45 - 14.12.2017 07:00","76389","79447"
"14.12.2017 07:00 - 14.12.2017 07:15","78937","81675"
"14.12.2017 07:15 - 14.12.2017 07:30","80395","83118"
"14.12.2017 07:30 - 14.12.2017 07:45","81662","84413"
"14.12.2017 07:45 - 14.12.2017 08:00","82314","85354"
"14.12.2017 08:00 - 14.12.2017 08:15","83363","86078"
"14.12.2017 08:15 - 14.12.2017 08:30","83692","86333"
"14.12.2017 08:30 - 14.12.2017 08:45","83828","86539"
"14.12.2017 08:45 - 14.12.2017 09:00","83749","86533"
"14.12.2017 09:00 - 14.12.2017 09:15","83423","86082"
"14.12.2017 09:15 - 14.12.2017 09:30","83563","86055"
"14.12.2017 09:30 - 14.12.2017 09:45","83768","86381"
"14.12.2017 09:45 - 14.12.2017 10:00","83982","86340"
"14.12.2017 10:00 - 14.12.2017 10:15","84372","86463"
"14.12.2017 10:15 - 14.12.2017 10:30","84187","86892"
"14.12.2017 10:30 - 14.12.2017 10:45","84401","87111"
"14.12.2017 10:45 - 14.12.2017 11:00","84697","87312"
"14.12.2017 11:00 - 14.12.2017 11:15","84456","87557"
"14.12.2017 11:15 - 14.12.2017 11:30","84886","87986"
"14.12.2017 11:30 - 14.12.2017 11:45","84821","88327"
"14.12.2017 11:45 - 14.12.2017 12:00","84985","88035"
"14.12.2017 12:00 - 14.12.2017 12:15","83878","87601"
"14.12.2017 12:15 - 14.12.2017 12:30","84054","87365"
"14.12.2017 12:30 - 14.12.2017 12:45","83990","87207"
"14.12.2017 12:45 - 14.12.2017 13:00","84017","86948"
"14.12.2017 13:00 - 14.12.2017 13:15","83776","87387"
"14.12.2017 13:15 - 14.12.2017 13:30","83809","87089"
"14.12.2017 13:30 - 14.12.2017 13:45","83413","86858"
"14.12.2017 13:45 - 14.12.2017 14:00","82558","86263"
"14.12.2017 14:00 - 14.12.2017 14:15","82497","86523"
"14.12.2017 14:15 - 14.12.2017 14:30","82128","86424"
"14.12.2017 14:30 - 14.12.2017 14:45","82271","86432"
"14.12.2017 14:45 - 14.12.2017 15:00","81983","86155"
"14.12.2017 15:00 - 14.12.2017 15:15","81440","86217"
"14.12.2017 15:15 - 14.12.2017 15:30","81894","86085"
"14.12.2017 15:30 - 14.12.2017 15:45","81738","86039"
"14.12.2017 15:45 - 14.12.2017 16:00","81627","86022"
"14.12.2017 16:00 - 14.12.2017 16:15","82323","86636"
"14.12.2017 16:15 - 14.12.2017 16:30","81869","87071"
"14.12.2017 16:30 - 14.12.2017 16:45","81977","87959"
"14.12.2017 16:45 - 14.12.2017 17:00","84309","88354"
"14.12.2017 17:00 - 14.12.2017 17:15","85113","89055"
"14.12.2017 17:15 - 14.12.2017 17:30","85135","89284"
"14.12.2017 17:30 - 14.12.2017 17:45","85477","89329"
"14.12.2017 17:45 - 14.12.2017 18:00","85452","89033"
"14.12.2017 18:00 - 14.12.2017 18:15","84932","88239"
"14.12.2017 18:15 - 14.12.2017 18:30","84683","87513"
"14.12.2017 18:30 - 14.12.2017 18:45","84420","87217"
"14.12.2017 18:45 - 14.12.2017 19:00","84115","86849"
"14.12.2017 19:00 - 14.12.2017 19:15","83589","86070"
"14.12.2017 19:15 - 14.12.2017 19:30","82932","85377"
"14.12.2017 19:30 - 14.12.2017 19:45","82360","84698"
"14.12.2017 19:45 - 14.12.2017 20:00","81500","83761"
"14.12.2017 20:00 - 14.12.2017 20:15","79858","82326"
"14.12.2017 20:15 - 14.12.2017 20:30","78600","81010"
"14.12.2017 20:30 - 14.12.2017 20:45","77395","79824"
"14.12.2017 20:45 - 14.12.2017 21:00","76411","78471"
"14.12.2017 21:00 - 14.12.2017 21:15","74792","77588"
"14.12.2017 21:15 - 14.12.2017 21:30","74172","76782"
"14.12.2017 21:30 - 14.12.2017 21:45","73652","75819"
"14.12.2017 21:45 - 14.12.2017 22:00","72593","74673"
"14.12.2017 22:00 - 14.12.2017 22:15","72689","74720"
"14.12.2017 22:15 - 14.12.2017 22:30","71724","73788"
"14.12.2017 22:30 - 14.12.2017 22:45","70767","72487"
"14.12.2017 22:45 - 14.12.2017 23:00","69354","71099"
"14.12.2017 23:00 - 14.12.2017 23:15","67893","69840"
"14.12.2017 23:15 - 14.12.2017 23:30","66657","68641"
"14.12.2017 23:30 - 14.12.2017 23:45","65597","67749"
"14.12.2017 23:45 - 15.12.2017 00:00","64570","66673"
"15.12.2017 00:00 - 15.12.2017 00:15","64082","65180"
"15.12.2017 00:15 - 15.12.2017 00:30","63178","64441"
"15.12.2017 00:30 - 15.12.2017 00:45","62368","63441"
"15.12.2017 00:45 - 15.12.2017 01:00","61513","62677"
"15.12.2017 01:00 - 15.12.2017 01:15","60836","61494"
"15.12.2017 01:15 - 15.12.2017 01:30","60197","60924"
"15.12.2017 01:30 - 15.12.2017 01:45","59930","60498"
"15.12.2017 01:45 - 15.12.2017 02:00","59577","60079"
"15.12.2017 02:00 - 15.12.2017 02:15","58995","59604"
"15.12.2017 02:15 - 15.12.2017 02:30","58916","59426"
"15.12.2017 02:30 - 15.12.2017 02:45","58917","59549"
"15.12.2017 02:45 - 15.12.2017 03:00","58822","59538"
"15.12.2017 03:00 - 15.12.2017 03:15","58900","59697"
"15.12.2017 03:15 - 15.12.2017 03:30","58882","59463"
"15.12.2017 03:30 - 15.12.2017 03:45","59028","59735"
"15.12.2017 03:45 - 15.12.2017 04:00","59229","59881"
"15.12.2017 04:00 - 15.12.2017 04:15","59814","60302"
"15.12.2017 04:15 - 15.12.2017 04:30","60170","60623"
"15.12.2017 04:30 - 15.12.2017 04:45","60503","61107"
"15.12.2017 04:45 - 15.12.2017 05:00","61114","61658"
"15.12.2017 05:00 - 15.12.2017 05:15","62613","63331"
"15.12.2017 05:15 - 15.12.2017 05:30","63118","64331"
"15.12.2017 05:30 - 15.12.2017 05:45","64375","65338"
"15.12.2017 05:45 - 15.12.2017 06:00","66047","67254"
"15.12.2017 06:00 - 15.12.2017 06:15","68751","70203"
"15.12.2017 06:15 - 15.12.2017 06:30","71507","72803"
"15.12.2017 06:30 - 15.12.2017 06:45","73624","74939"
"15.12.2017 06:45 - 15.12.2017 07:00","75421","77095"
"15.12.2017 07:00 - 15.12.2017 07:15","77622","79594"
"15.12.2017 07:15 - 15.12.2017 07:30","79107","81297"
"15.12.2017 07:30 - 15.12.2017 07:45","80846","82538"
"15.12.2017 07:45 - 15.12.2017 08:00","81497","83513"
"15.12.2017 08:00 - 15.12.2017 08:15","82658","84389"
"15.12.2017 08:15 - 15.12.2017 08:30","82815","84564"
"15.12.2017 08:30 - 15.12.2017 08:45","83101","84572"
"15.12.2017 08:45 - 15.12.2017 09:00","83142","84638"
"15.12.2017 09:00 - 15.12.2017 09:15","82914","84713"
"15.12.2017 09:15 - 15.12.2017 09:30","83350","84629"
"15.12.2017 09:30 - 15.12.2017 09:45","83500","84831"
"15.12.2017 09:45 - 15.12.2017 10:00","83644","84999"
"15.12.2017 10:00 - 15.12.2017 10:15","83796","85150"
"15.12.2017 10:15 - 15.12.2017 10:30","83732","85057"
"15.12.2017 10:30 - 15.12.2017 10:45","83970","84919"
"15.12.2017 10:45 - 15.12.2017 11:00","84200","84874"
"15.12.2017 11:00 - 15.12.2017 11:15","84153","84926"
"15.12.2017 11:15 - 15.12.2017 11:30","84214","84887"
"15.12.2017 11:30 - 15.12.2017 11:45","84173","84599"
"15.12.2017 11:45 - 15.12.2017 12:00","84551","84328"
"15.12.2017 12:00 - 15.12.2017 12:15","83761","84259"
"15.12.2017 12:15 - 15.12.2017 12:30","83847","83591"
"15.12.2017 12:30 - 15.12.2017 12:45","83641","83334"
"15.12.2017 12:45 - 15.12.2017 13:00","83590","83016"
"15.12.2017 13:00 - 15.12.2017 13:15","83205","82570"
"15.12.2017 13:15 - 15.12.2017 13:30","82811","82085"
"15.12.2017 13:30 - 15.12.2017 13:45","82393","81410"
"15.12.2017 13:45 - 15.12.2017 14:00","81630","80874"
"15.12.2017 14:00 - 15.12.2017 14:15","81241","80393"
"15.12.2017 14:15 - 15.12.2017 14:30","80846","80263"
"15.12.2017 14:30 - 15.12.2017 14:45","80645","79927"
"15.12.2017 14:45 - 15.12.2017 15:00","80360","79792"
"15.12.2017 15:00 - 15.12.2017 15:15","79580","79725"
"15.12.2017 15:15 - 15.12.2017 15:30","80228","79547"
"15.12.2017 15:30 - 15.12.2017 15:45","80037","79712"
"15.12.2017 15:45 - 15.12.2017 16:00","80191","80279"
"15.12.2017 16:00 - 15.12.2017 16:15","80878","80713"
"15.12.2017 16:15 - 15.12.2017 16:30","80622","81487"
"15.12.2017 16:30 - 15.12.2017 16:45","80262","82399"
"15.12.2017 16:45 - 15.12.2017 17:00","82807","83144"
"15.12.2017 17:00 - 15.12.2017 17:15","83657","83480"
"15.12.2017 17:15 - 15.12.2017 17:30","83607","83651"
"15.12.2017 17:30 - 15.12.2017 17:45","83760","83360"
"15.12.2017 17:45 - 15.12.2017 18:00","83594","83018"
"15.12.2017 18:00 - 15.12.2017 18:15","83167","82428"
"15.12.2017 18:15 - 15.12.2017 18:30","82772","81821"
"15.12.2017 18:30 - 15.12.2017 18:45","82344","81313"
"15.12.2017 18:45 - 15.12.2017 19:00","82051","80765"
"15.12.2017 19:00 - 15.12.2017 19:15","81308","80341"
"15.12.2017 19:15 - 15.12.2017 19:30","80474","79461"
"15.12.2017 19:30 - 15.12.2017 19:45","79964","78763"
"15.12.2017 19:45 - 15.12.2017 20:00","79331","78030"
"15.12.2017 20:00 - 15.12.2017 20:15","77356","76542"
"15.12.2017 20:15 - 15.12.2017 20:30","76018","75069"
"15.12.2017 20:30 - 15.12.2017 20:45","74744","73727"
"15.12.2017 20:45 - 15.12.2017 21:00","73838","72810"
"15.12.2017 21:00 - 15.12.2017 21:15","72133","71957"
"15.12.2017 21:15 - 15.12.2017 21:30","71746","71524"
"15.12.2017 21:30 - 15.12.2017 21:45","71149","70692"
"15.12.2017 21:45 - 15.12.2017 22:00","70413","69911"
"15.12.2017 22:00 - 15.12.2017 22:15","70644","70238"
"15.12.2017 22:15 - 15.12.2017 22:30","69893","69597"
"15.12.2017 22:30 - 15.12.2017 22:45","69062","68586"
"15.12.2017 22:45 - 15.12.2017 23:00","67786","67612"
"15.12.2017 23:00 - 15.12.2017 23:15","66332","66268"
"15.12.2017 23:15 - 15.12.2017 23:30","65235","65106"
"15.12.2017 23:30 - 15.12.2017 23:45","64345","64161"
"15.12.2017 23:45 - 16.12.2017 00:00","63376","63476"
"16.12.2017 00:00 - 16.12.2017 00:15","61709","62365"
"16.12.2017 00:15 - 16.12.2017 00:30","60485","61360"
"16.12.2017 00:30 - 16.12.2017 00:45","59764","60596"
"16.12.2017 00:45 - 16.12.2017 01:00","58963","60043"
"16.12.2017 01:00 - 16.12.2017 01:15","58294","59405"
"16.12.2017 01:15 - 16.12.2017 01:30","57711","58656"
"16.12.2017 01:30 - 16.12.2017 01:45","57383","58026"
"16.12.2017 01:45 - 16.12.2017 02:00","56856","57776"
"16.12.2017 02:00 - 16.12.2017 02:15","56494","57334"
"16.12.2017 02:15 - 16.12.2017 02:30","56268","56985"
"16.12.2017 02:30 - 16.12.2017 02:45","56100","56714"
"16.12.2017 02:45 - 16.12.2017 03:00","55814","56450"
"16.12.2017 03:00 - 16.12.2017 03:15","55791","56160"
"16.12.2017 03:15 - 16.12.2017 03:30","55625","55949"
"16.12.2017 03:30 - 16.12.2017 03:45","55577","56150"
"16.12.2017 03:45 - 16.12.2017 04:00","55539","56029"
"16.12.2017 04:00 - 16.12.2017 04:15","55701","56273"
"16.12.2017 04:15 - 16.12.2017 04:30","55869","56160"
"16.12.2017 04:30 - 16.12.2017 04:45","55875","56284"
"16.12.2017 04:45 - 16.12.2017 05:00","55944","56185"
"16.12.2017 05:00 - 16.12.2017 05:15","56441","56466"
"16.12.2017 05:15 - 16.12.2017 05:30","56122","56361"
"16.12.2017 05:30 - 16.12.2017 05:45","56433","56477"
"16.12.2017 05:45 - 16.12.2017 06:00","56697","56787"
"16.12.2017 06:00 - 16.12.2017 06:15","56947","56866"
"16.12.2017 06:15 - 16.12.2017 06:30","57667","57268"
"16.12.2017 06:30 - 16.12.2017 06:45","58752","57983"
"16.12.2017 06:45 - 16.12.2017 07:00","59925","58915"
"16.12.2017 07:00 - 16.12.2017 07:15","61630","60726"
"16.12.2017 07:15 - 16.12.2017 07:30","62279","61628"
"16.12.2017 07:30 - 16.12.2017 07:45","63872","62903"
"16.12.2017 07:45 - 16.12.2017 08:00","64905","64146"
"16.12.2017 08:00 - 16.12.2017 08:15","66198","65937"
"16.12.2017 08:15 - 16.12.2017 08:30","67177","66758"
"16.12.2017 08:30 - 16.12.2017 08:45","67565","67682"
"16.12.2017 08:45 - 16.12.2017 09:00","68085","68607"
"16.12.2017 09:00 - 16.12.2017 09:15","68744","69605"
